source,category,m2131_el,max_tier_possible,domain,notes
1password,authentication,el1,el2,identity,Default: treat as identity/security audit unless more specific event typing is available
abnormal-security,security_telemetry,el2,el2,security,Default: email threat/security telemetry
activemq,application_activity,el0,el1,application,Middleware operational logs; promote tier if authz/audit events are present
admission-webhook,authorization,el2,el3,cloud,Kubernetes admission decisions
adobe.experience.manager,web_access,el1,el2,application,Web/app access logs; add discriminator for admin actions if available
adyen,application_activity,el1,el2,application,Payment platform events; map admin/authn events separately when fields are known
aerospike,application_activity,el0,el1,application,Database operational logs; tier increases only if access/audit events are logged
agent,application_activity,el0,el1,platform,Datadog Agent operational logs
aimon,application_activity,el0,el1,application,Monitoring/ops telemetry; not typically an OMB-required category by itself
airflow,application_activity,el0,el1,application,Workflow/orchestration operational logs; add user/auth events if present
akamai,web_access,el1,el2,network,CDN/access telemetry; refine by product/event fields if present
akamai-application-security,web_security,el2,el3,security,Application security events (WAF/bot/DDoS indicators)
akamai-eaa,authentication,el1,el2,identity,Zero Trust access proxy events; refine by action/outcome fields
akamai-security-events,web_security,el2,el3,security,Application security events (WAF/bot/DDoS indicators)
akamai-sia,web_access,el2,el2,network,Secure Internet Access proxy/DNS-like telemetry (confirm whether DNS events are included)
akamai.datastream,web_access,el1,el2,network,DataStream-delivered access/security logs; add secondary field once known
alcide,security_telemetry,el2,el2,security,Kubernetes security posture / runtime signals
amazon-ecs-agent,cloud_configuration,el2,el2,cloud,ECS agent control-plane/host orchestration logs
amazon-security-lake,security_telemetry,el2,el3,security,Security Lake is an aggregation layer; max tier depends on included sources :contentReference[oaicite:6]{index=6}
ambari,application_activity,el0,el1,application,Cluster management operational logs
android,endpoint_activity,el1,el2,endpoint,Endpoint/mobile device events; refine by auth/process fields
anecdote,application_activity,el0,el1,application,General SaaS activity; add discriminators for admin/auth when present
apache,web_access,el1,el2,application,HTTP access logs; refine by auth failures/admin endpoints
api-server,privileged_access,el3,el3,cloud,Kubernetes API server logs (control-plane)
apigateway,web_access,el2,el2,cloud,API Gateway access logs
apigee,web_access,el2,el2,application,API gateway traffic/access decisions (often supports EL2 web/API visibility)
appomni,security_telemetry,el2,el2,security,SaaS security posture / audit insights
appsync,web_access,el2,el2,cloud,GraphQL API access logs
aqua,security_telemetry,el2,el3,security,Container security/runtime detections; EL3 if full runtime telemetry enabled
arangodb,application_activity,el0,el1,application,Database operational logs; tier increases with audit/access logs
arctic-wolf-aurora-endpoint-security,endpoint_activity,el2,el3,endpoint,Endpoint security telemetry/detections
argo_rollouts,application_activity,el0,el1,application,Release events; not typically OMB-required unless tied to privileged actions
argo_workflows,application_activity,el0,el1,application,Workflow activity; not typically OMB-required unless tied to privileged actions
argocd,application_activity,el0,el1,application,Deployment/control-plane activity; add RBAC/admin change discriminators
asana,account_management,el1,el2,identity,SaaS audit/activity; refine by event type (login/admin) if present
atlassian-event-logs,account_management,el1,el2,identity,Org audit logs often include user/admin actions; refine by action field
auth0,authentication,el1,el3,identity,IdP authentication + admin events; EL3 if full admin/audit coverage is enabled
authorize-net,application_activity,el1,el2,application,Payment processing events; refine by auth/admin events
avast,security_telemetry,el2,el2,security,AV/endpoint detections and security events
aws_neuron,application_activity,el0,el1,application,AI accelerator runtime logs
aws-alb-ingress-controller,cloud_configuration,el2,el2,cloud,Ingress controller operational/control-plane logs
aws.fsx,cloud_configuration,el2,el2,cloud,FSx service logs (ops/config)
azure,cloud_api_activity,el2,el3,cloud,Azure platform logs; use discriminators per service/source subtype
azure.activedirectory,authentication,el1,el3,identity,Directory authentication/audit logs
azure.alertsmanagement,security_telemetry,el2,el2,security,Alert/incident telemetry
azure.authorization,privileged_access,el2,el3,cloud,Role assignments/policy operations (if enabled)
azure.compute,cloud_api_activity,el2,el3,cloud,Compute control-plane and activity logs; EL3 if full audit/admin operations enabled
azure.containerservice,cloud_configuration,el2,el3,cloud,AKS control-plane and cluster operations logs
azure.dbforpostgresql,cloud_data_access,el2,el3,cloud,Database logs; EL3 if audit/auth logging fully enabled
azure.iot_edge,endpoint_activity,el2,el3,endpoint,IoT edge device/module activity logs
azure.keyvault,cloud_data_access,el2,el3,cloud,Secret/key access logs (EL3 if full audit enabled)
azure.network,network_activity,el2,el2,network,Network control-plane and flow-related logs
azure.operationalinsights,cloud_api_activity,el2,el2,cloud,Workspace/ops logs
azure.recoveryservices,cloud_configuration,el2,el2,cloud,Backup/restore control-plane activity
azure.resources,cloud_api_activity,el2,el3,cloud,Resource manager operations
azure.security,security_telemetry,el2,el2,security,Security alerts/defender signals
azure.sql,cloud_data_access,el2,el3,cloud,SQL audit/diagnostic logs; EL3 if full auditing enabled
azure.storage,cloud_data_access,el2,el3,cloud,Storage access logs; EL3 if full data access auditing enabled
azure.subscription,cloud_api_activity,el2,el3,cloud,Subscription-level operations
azure.web,web_access,el2,el2,cloud,App Service / web app access and platform logs
barracuda_cloudgen_logs,network_activity,el2,el3,network,Firewall traffic logs
barracuda_secure_edge,web_security,el2,el3,network,Secure edge/SWG logs
bentoml,application_activity,el0,el1,application,Model serving runtime logs
beyond-trust-identity-security-insights,security_telemetry,el2,el2,security,Identity security analytics telemetry
beyondtrust-password-safe,privileged_access,el1,el3,identity,PAM vault audit logs
bind9,dns_activity,el2,el2,dns,DNS query/response logs
bitdefender,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
bitwarden,authentication,el1,el3,identity,Password manager audit logs
bluecat-edge,dns_activity,el2,el3,dns,DNS edge/resolver telemetry; EL3 if full query+response+policy logged
bottomline,application_activity,el0,el1,application,Record/replay operational logs
boundary,authentication,el1,el3,identity,Access proxy/session logs
box,account_management,el1,el2,identity,SaaS audit logs
brevo,application_activity,el0,el1,application,Marketing/email platform events
browser,web_access,el1,el2,application,Client-side web logs
cacti,security_telemetry,el2,el2,security,Monitoring alerts/telemetry
calico,network_activity,el2,el3,network,Kubernetes network policy/flow logs
carbon-black-cloud,endpoint_activity,el3,el3,endpoint,EDR telemetry and detections
cassandra,application_activity,el1,el2,application,Database logs
cato-networks,network_activity,el2,el3,network,SD-WAN/security telemetry
cbdefense,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
celerdata,application_activity,el0,el1,application,Data analytics engine logs
celery,application_activity,el0,el1,application,Task queue logs
ceph,application_activity,el1,el2,application,Storage cluster logs
cequence,web_security,el2,el3,security,API security telemetry
cert-manager-acmesolver,cloud_configuration,el2,el2,cloud,Certificate issuance logs
cert-manager-cainjector,cloud_configuration,el2,el2,cloud,CA injection logs
cert-manager-controller,cloud_configuration,el2,el2,cloud,Certificate lifecycle management
cert-manager-webhook,authorization,el2,el2,cloud,Admission webhook validation logs
checkpoint_harmony_endpoint,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
checkpoint-harmony-email-and-collaboration,security_telemetry,el2,el2,security,Email threat detection logs
checkpoint-quantum-firewall,network_activity,el2,el3,network,Firewall traffic logs
cisco-aci,network_activity,el2,el2,network,Network fabric telemetry
cisco-asa,network_activity,el2,el3,network,Firewall traffic logs
cisco-duo,authentication,el1,el3,identity,MFA authentication logs
cisco-secure-client,authentication,el1,el2,identity,VPN authentication logs
cisco-secure-email-threat-defense,security_telemetry,el2,el2,security,Email threat detections
cisco-secure-endpoint,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
cisco-secure-firewall,network_activity,el2,el3,network,Firewall logs
cisco-secure-web-appliance,web_security,el2,el3,network,Secure web gateway logs
cisco-syslog,network_activity,el2,el2,network,Generic Cisco device logs (tier depends on device type)
cisco-umbrella-dns,dns_activity,el2,el3,dns,DNS security telemetry
citrix_hypervisor,cloud_configuration,el2,el2,cloud,Hypervisor management logs
cloud-workload-security,endpoint_activity,el3,el3,endpoint,Container/runtime detection telemetry
cloudfront,web_access,el2,el2,network,CDN access logs
cloudhsm,privileged_access,el2,el3,cloud,HSM admin/audit logs (tier depends on audit verbosity)
cloudtrail,cloud_api_activity,el2,el3,cloud,CloudTrail is multi-tier; use discriminators for precision
cluster-agent,application_activity,el0,el1,platform,Cluster agent logs
cluster-autoscaler,cloud_configuration,el2,el2,cloud,Cluster scaling control-plane actions
cluster-proportional-autoscaler-amd64,cloud_configuration,el2,el2,cloud,Autoscaling adjustments
continuous_ai_netsuite,account_management,el1,el2,identity,SaaS ERP audit logs
coredns,dns_activity,el2,el2,dns,DNS query logs
couchdb,application_activity,el1,el2,application,Database logs
crest_data_systems_airtable,application_activity,el0,el1,application,SaaS activity logs; add discriminator for auth/admin events
crest_data_systems_anomali_threatstream,security_telemetry,el2,el2,security,Threat intel / enrichment signals
crest_data_systems_automox,endpoint_activity,el2,el3,endpoint,Endpoint patch/config telemetry
crest_data_systems_barracuda_waf,web_security,el2,el3,security,WAF security events
crest_data_systems_cisco_asa,network_activity,el2,el3,network,Firewall traffic logs
crest_data_systems_cisco_ise,authentication,el1,el3,identity,Network access control logs
crest_data_systems_citrix_cloud,account_management,el1,el2,identity,Cloud workspace audit logs
crest_data_systems_cyberark_identity,authentication,el1,el3,identity,Identity provider logs
crest_data_systems_cyberark_pam,privileged_access,el1,el3,identity,PAM audit logs
crest_data_systems_dataminr,security_telemetry,el2,el2,security,External threat intelligence telemetry
crest_data_systems_datarobot,application_activity,el0,el1,application,ML platform logs
crest_data_systems_dell_emc_ecs,cloud_data_access,el2,el3,cloud,Object storage logs
crest_data_systems_dropbox,account_management,el1,el2,identity,SaaS audit logs
crest_data_systems_fortigate,network_activity,el2,el3,network,Firewall logs
crest_data_systems_ibm_security_verify,authentication,el1,el3,identity,IdP authentication logs
crest_data_systems_illumio,network_activity,el2,el3,network,Microsegmentation telemetry
crest_data_systems_infoblox_ddi,dns_activity,el2,el3,network,DNS/DHCP/IPAM logs
crest_data_systems_ivanti_uem,endpoint_activity,el2,el3,endpoint,Endpoint management telemetry
crest_data_systems_lansweeper,security_telemetry,el2,el2,security,Asset discovery telemetry
crest_data_systems_manageengine_adaudit_plus,account_management,el2,el3,identity,AD audit telemetry
crest_data_systems_netskope,web_security,el2,el3,network,Secure web gateway logs
crest_data_systems_nozomi_networks,ids_ips,el3,el3,network,OT/ICS threat detection telemetry
crest_data_systems_opnsense,network_activity,el2,el3,network,Firewall logs
crest_data_systems_pfsense,network_activity,el2,el3,network,Firewall logs
crest_data_systems_picus_security,security_telemetry,el2,el2,security,Security validation telemetry
crest_data_systems_prefect,application_activity,el0,el1,application,Workflow orchestration logs
crest_data_systems_sentinel_one,endpoint_activity,el3,el3,endpoint,EDR telemetry
crest_data_systems_square,application_activity,el1,el2,application,Payment platform logs
crest_data_systems_sybase,application_activity,el1,el2,application,Database logs
crest_data_systems_tenable_one_platform,security_telemetry,el2,el2,security,Tenable One consolidated security telemetry
crest_data_systems_zia,web_security,el2,el3,network,Secure web gateway logs
crest_data_systems_zoho_crm,account_management,el1,el2,identity,SaaS CRM audit logs
crest_data_systems_zoho_desk,account_management,el1,el2,identity,SaaS helpdesk audit logs
crest_data_systems_zpa,authentication,el1,el3,identity,Zero Trust access logs
crest-data-systems-armis,security_telemetry,el2,el2,security,Asset/device security telemetry
crest-data-systems-cisco-mds,network_activity,el2,el2,network,Storage network logs
crest-data-systems-cisco-secure-workload,security_telemetry,el2,el3,security,Workload protection telemetry
crest-data-systems-cofense-triage,security_telemetry,el2,el2,security,Phishing triage telemetry
crest-data-systems-infoblox-universal-ddi,dns_activity,el2,el3,network,DNS/DHCP/IPAM logs
crest-data-systems-kong-ai-gateway,web_access,el2,el2,application,API gateway access/security logs (AI gateway)
crest-data-systems-miro,account_management,el1,el2,identity,SaaS audit logs
crest-data-systems-netapp-bluexp,security_telemetry,el2,el2,security,Cloud storage posture logs
crest-data-systems-netwrix-auditor,account_management,el2,el3,identity,Directory audit telemetry
crest-data-systems-palo-alto-prisma-cloud-enterprise,security_telemetry,el2,el3,security,Cloud security posture telemetry
crest-data-systems-rudder,security_telemetry,el2,el2,security,Security posture telemetry
crest-data-systems-safenet-trusted-access,authentication,el1,el3,identity,IdP authentication logs
crest-data-systems-solarwinds-observability-saas,security_telemetry,el2,el2,security,Monitoring/security telemetry
crest-data-systems-togetherai,application_activity,el0,el1,application,AI platform logs
crest-data-systems-trulens-eval,application_activity,el0,el1,application,Model evaluation telemetry
crest-data-systems-upguard,security_telemetry,el2,el2,security,External risk posture telemetry
crest-data-systems-vectra,security_telemetry,el2,el3,security,Network detection telemetry
crest-data-systems-whylabs,security_telemetry,el2,el2,security,ML observability/security insights
CRON,application_activity,el0,el1,application,Scheduled job execution logs
crowdstrike,endpoint_activity,el3,el3,endpoint,EDR telemetry
crowdstrike-fdr,endpoint_activity,el3,el3,endpoint,Full detection response telemetry
csharp,application_activity,el0,el1,application,Application runtime logs
dagster-plus,application_activity,el0,el1,application,Data orchestration logs
datadog-agent,application_activity,el0,el1,platform,Datadog Agent logs
datadog-agent-cluster-worker,application_activity,el0,el1,platform,Cluster worker logs
datadog-cluster-agent,application_activity,el0,el1,platform,Cluster agent logs
datazoom,application_activity,el0,el1,application,Analytics pipeline logs
delinea-privilege-manager,privileged_access,el2,el3,endpoint,Privilege escalation telemetry
delinea-secret-server,privileged_access,el1,el3,identity,Secret vault audit logs
docdb,cloud_data_access,el2,el2,cloud,DocumentDB logs (promote with audit/auth logs)
dotnet,application_activity,el0,el1,application,.NET runtime/application logs
druid,application_activity,el1,el2,application,Analytics/query engine logs
dynamodb,cloud_data_access,el2,el3,cloud,Data-plane access visibility varies; EL3 if data event auditing enabled via CloudTrail
elasticsearch,application_activity,el1,el2,application,Search/database logs
elb,web_access,el2,el2,network,ELB/ALB access logs (classic filter)
ems,application_activity,el0,el1,application,Enterprise messaging logs
envoy,network_activity,el2,el2,network,Proxy/access logs
eset-protect,endpoint_activity,el3,el3,endpoint,Endpoint detection telemetry
etcd,cloud_configuration,el2,el3,cloud,Kubernetes backing store logs
exchange-server,account_management,el1,el2,identity,Mail server audit logs
extrahop,network_activity,el2,el3,network,Network detection and response telemetry
f5xc,network_activity,el2,el3,network,Distributed cloud/load balancer logs
fail2ban,authentication,el1,el2,endpoint,Login attempt blocking logs
falco,endpoint_activity,el3,el3,endpoint,Runtime security telemetry
fastly,web_access,el2,el2,network,CDN access logs
fauna,application_activity,el1,el2,application,Database logs
flink,application_activity,el0,el1,application,Stream processing logs
flutter,application_activity,el0,el1,application,Application runtime logs
fluxcd,cloud_configuration,el2,el3,cloud,GitOps deployment logs
fly_io,web_access,el1,el2,application,App hosting logs
forcepoint-secure-web-gateway,web_security,el2,el3,network,Secure web gateway logs
forcepoint-security-service-edge,web_security,el2,el3,network,SSE telemetry
forescout,security_telemetry,el2,el2,security,Network access control telemetry
fortinet-fortimanager,cloud_configuration,el2,el2,network,Firewall management platform logs
foundationdb,application_activity,el0,el1,application,Database logs
gcp.api,cloud_api_activity,el2,el3,cloud,API calls audit logs
gcp.audited.resource,cloud_api_activity,el2,el3,cloud,Audited resource access
gcp.bigquery.dataset,cloud_data_access,el2,el3,cloud,BigQuery dataset audit logs
gcp.bigquery.project,cloud_api_activity,el2,el3,cloud,Project-level BigQuery activity
gcp.bigquery.resource,cloud_data_access,el2,el3,cloud,Table/query access logs
gcp.cloud.function,application_activity,el1,el2,cloud,Serverless function logs
gcp.cloud.run.revision,application_activity,el1,el2,cloud,Cloud Run service logs
gcp.cloudsql.database,cloud_data_access,el2,el3,cloud,Cloud SQL logs
gcp.container,cloud_configuration,el2,el3,cloud,GKE cluster events
gcp.dataflow.step,application_activity,el0,el1,cloud,Dataflow job logs
gcp.gae.app,application_activity,el1,el2,cloud,App Engine application logs
gcp.gce.firewall.rule,network_activity,el2,el2,network,Firewall rule changes
gcp.gce.instance,cloud_configuration,el2,el3,cloud,VM lifecycle events
gcp.gce.network,network_activity,el2,el2,network,Network configuration changes
gcp.gce.route,network_activity,el2,el2,network,Route configuration changes
gcp.gcs.bucket,cloud_data_access,el2,el3,cloud,Cloud Storage access logs
gcp.http.load.balancer,web_access,el2,el2,network,Load balancer access logs
gcp.iam.role,privileged_access,el3,el3,identity,IAM role changes
gcp.k8s.cluster,privileged_access,el3,el3,cloud,GKE audit logs
gcp.logging.sink,cloud_configuration,el2,el2,cloud,Logging export configuration
gcp.organization,cloud_api_activity,el2,el3,cloud,Org-level administrative changes
gcp.project,cloud_api_activity,el2,el3,cloud,Project-level admin actions
gcp.pubsub.subscription,application_activity,el0,el1,cloud,Subscription logs
gcp.pubsub.topic,application_activity,el0,el1,cloud,Topic logs
gcp.service.account,account_management,el1,el3,identity,Service account lifecycle changes
gcp.spanner.instance,cloud_data_access,el2,el3,cloud,Spanner instance audit logs
gcp.vpn.gateway,network_activity,el2,el2,network,VPN activity logs
gearman,application_activity,el0,el1,application,Job queue logs
genesys,application_activity,el1,el2,application,Contact center logs
gigamon,network_activity,el2,el3,network,Network visibility telemetry
github-telemetry,account_management,el1,el2,identity,Developer activity logs
github.audit.streaming,account_management,el1,el2,identity,GitHub audit events
gitlab,account_management,el1,el2,identity,SaaS audit logs
gitlab-audit-events,account_management,el1,el2,identity,GitLab audit logs
gitlab-runner,application_activity,el0,el1,application,CI/CD runner logs
glusterfs,application_activity,el0,el1,application,Distributed filesystem logs
go,application_activity,el0,el1,application,Application runtime logs
goldilocks,application_activity,el0,el1,application,Resource recommendation logs
google.security.command.center,security_telemetry,el2,el2,security,Security Command Center findings
google.workspace.alert.center,security_telemetry,el2,el2,security,Workspace security alerts
gravitee,web_access,el2,el2,application,API management access logs
greenhouse,account_management,el1,el2,identity,SaaS audit logs (HR/recruiting platform)
gsuite,authentication,el1,el3,identity,Google Workspace audit logs
guarddog,security_telemetry,el2,el2,security,Threat detection telemetry
guardduty,security_telemetry,el2,el2,security,Threat detection findings
gunicorn,web_access,el1,el2,application,Web application access logs
hadoop-yarn,application_activity,el0,el1,application,Spark/YARN job logs
haproxy,web_access,el2,el2,network,Load balancer/proxy access logs
harbor,account_management,el1,el2,identity,Container registry audit logs
